P10 fine boundary scan: n=10 init=10.0 batch=128 steps=60000 cosine
36 runs (~0.9h)

a=2.40 wd=0.08 | s1 unif= 0.980 hi= 1.000 lo= 0.967 | GROK (94s)
a=2.40 wd=0.08 | s2 unif= 0.995 hi= 1.000 lo= 0.991 | GROK (93s)
a=2.50 wd=0.06 | s0 unif= 0.970 hi= 0.999 lo= 0.949 | GROK (94s)
a=2.50 wd=0.06 | s1 unif= 0.968 hi= 1.000 lo= 0.947 | GROK (93s)
a=2.50 wd=0.06 | s2 unif= 0.973 hi= 0.999 lo= 0.958 | GROK (93s)
a=2.50 wd=0.06 | s3 unif= 0.996 hi= 1.000 lo= 0.994 | GROK (94s)
a=2.50 wd=0.06 | s4 unif= 0.919 hi= 0.999 lo= 0.853 | GROK (94s)
a=2.50 wd=0.07 | s0 unif= 0.874 hi= 1.000 lo= 0.771 | PARTIAL (94s)
a=2.50 wd=0.07 | s1 unif= 0.912 hi= 1.000 lo= 0.843 | GROK (93s)
a=2.50 wd=0.07 | s2 unif= 0.996 hi= 1.000 lo= 0.994 | GROK (94s)
a=2.50 wd=0.07 | s3 unif= 0.978 hi= 1.000 lo= 0.966 | GROK (94s)
a=2.50 wd=0.07 | s4 unif= 0.979 hi= 1.000 lo= 0.966 | GROK (93s)
a=2.50 wd=0.08 | s0 unif= 0.962 hi= 1.000 lo= 0.946 | GROK (93s)
a=2.50 wd=0.08 | s1 unif= 0.950 hi= 1.000 lo= 0.911 | GROK (94s)
a=2.50 wd=0.08 | s2 unif= 0.997 hi= 1.000 lo= 0.995 | GROK (93s)
a=2.50 wd=0.08 | s3 unif= 0.989 hi= 1.000 lo= 0.983 | GROK (94s)
a=2.50 wd=0.08 | s4 unif= 0.849 hi= 0.999 lo= 0.753 | PARTIAL (93s)
a=2.50 wd=0.09 | s0 unif= 0.982 hi= 1.000 lo= 0.969 | GROK (94s)
a=2.50 wd=0.09 | s1 unif= 0.486 hi= 0.999 lo= 0.026 | TRAP (94s)
a=2.50 wd=0.09 | s2 unif= 0.910 hi= 1.000 lo= 0.856 | GROK (93s)
a=2.50 wd=0.09 | s3 unif= 0.984 hi= 1.000 lo= 0.971 | GROK (93s)
a=2.50 wd=0.09 | s4 unif= 0.987 hi= 1.000 lo= 0.978 | GROK (94s)
a=2.60 wd=0.03 | s0 unif= 0.999 hi= 1.000 lo= 0.998 | GROK (94s)
a=2.60 wd=0.03 | s1 unif= 0.997 hi= 1.000 lo= 0.997 | GROK (93s)
a=2.60 wd=0.03 | s2 unif= 0.958 hi= 1.000 lo= 0.922 | GROK (93s)
a=2.60 wd=0.04 | s0 unif= 0.937 hi= 1.000 lo= 0.885 | GROK (94s)
