P11 n=12 grid: n=12 init=10.0 batch=128 steps=60000 cosine
alphas=[0.0, 1.0, 2.0, 2.25, 2.5, 2.75, 3.0]
wds=[0.05, 0.1, 0.15, 0.2, 0.3, 0.5]

a=2.25 wd=0.15 | s1 unif= 0.733 hi= 0.994 lo= 0.522 | PARTIAL (100s)
a=2.25 wd=0.15 | s2 unif= 0.644 hi= 0.976 lo= 0.514 | PARTIAL (102s)
a=2.25 wd=0.20 | s0 unif= 0.332 hi= 0.917 lo= 0.014 | TRAP (99s)
a=2.25 wd=0.20 | s1 unif= 0.541 hi= 0.910 lo= 0.467 | PARTIAL (98s)
a=2.25 wd=0.20 | s2 unif= 0.932 hi= 0.994 lo= 0.908 | GROK (103s)
a=2.25 wd=0.30 | s0 unif= 0.386 hi= 0.869 lo= 0.269 | CRUSH (98s)
a=2.25 wd=0.30 | s1 unif= 0.318 hi= 0.867 lo= 0.012 | CRUSH (98s)
a=2.25 wd=0.30 | s2 unif= 0.281 hi= 0.836 lo= 0.000 | CRUSH (99s)
a=2.25 wd=0.50 | s0 unif= 0.247 hi= 0.811 lo= 0.000 | CRUSH (100s)
a=2.25 wd=0.50 | s1 unif= 0.199 hi= 0.730 lo= 0.000 | CRUSH (100s)
a=2.25 wd=0.50 | s2 unif= 0.254 hi= 0.765 lo= 0.000 | CRUSH (98s)
a=2.50 wd=0.05 | s0 unif= 0.931 hi= 1.000 lo= 0.876 | GROK (101s)
a=2.50 wd=0.05 | s1 unif= 0.767 hi= 0.997 lo= 0.657 | PARTIAL (98s)
a=2.50 wd=0.05 | s2 unif= 0.947 hi= 0.998 lo= 0.906 | GROK (98s)
a=2.50 wd=0.10 | s0 unif= 0.729 hi= 0.991 lo= 0.577 | PARTIAL (99s)
a=2.50 wd=0.10 | s1 unif= 0.563 hi= 0.987 lo= 0.385 | PARTIAL (101s)
a=2.50 wd=0.10 | s2 unif= 0.717 hi= 0.981 lo= 0.548 | PARTIAL (98s)
a=2.50 wd=0.15 | s0 unif= 0.286 hi= 0.919 lo= 0.052 | TRAP (98s)
a=2.50 wd=0.15 | s1 unif= 0.518 hi= 0.968 lo= 0.326 | PARTIAL (99s)
a=2.50 wd=0.15 | s2 unif= 0.290 hi= 0.920 lo= 0.000 | TRAP (98s)
a=2.50 wd=0.20 | s0 unif= 0.311 hi= 0.903 lo= 0.000 | TRAP (99s)
a=2.50 wd=0.20 | s1 unif= 0.248 hi= 0.751 lo= 0.116 | CRUSH (100s)
a=2.50 wd=0.20 | s2 unif= 0.167 hi= 0.718 lo= 0.000 | CRUSH (99s)
a=2.50 wd=0.30 | s0 unif= 0.136 hi= 0.633 lo= 0.000 | CRUSH (98s)
a=2.50 wd=0.30 | s1 unif= 0.233 hi= 0.800 lo= 0.003 | CRUSH (98s)
a=2.50 wd=0.30 | s2 unif= 0.110 hi= 0.526 lo= 0.000 | CRUSH (98s)
a=2.50 wd=0.50 | s0 unif= 0.051 hi= 0.419 lo= 0.000 | CRUSH (98s)
a=2.50 wd=0.50 | s1 unif= 0.088 hi= 0.470 lo= 0.000 | CRUSH (98s)
a=2.50 wd=0.50 | s2 unif= 0.095 hi= 0.482 lo= 0.000 | CRUSH (99s)
a=2.75 wd=0.05 | s0 unif= 0.427 hi= 0.988 lo= 0.000 | TRAP (99s)
a=2.75 wd=0.05 | s1 unif= 0.537 hi= 0.983 lo= 0.287 | PARTIAL (98s)
a=2.75 wd=0.05 | s2 unif= 0.608 hi= 0.997 lo= 0.266 | PARTIAL (99s)
a=2.75 wd=0.10 | s0 unif= 0.185 hi= 0.763 lo= 0.005 | CRUSH (100s)
a=2.75 wd=0.10 | s1 unif= 0.319 hi= 0.908 lo= 0.063 | TRAP (98s)
a=2.75 wd=0.10 | s2 unif= 0.371 hi= 0.968 lo= 0.038 | TRAP (100s)
a=2.75 wd=0.15 | s0 unif= 0.231 hi= 0.830 lo= 0.003 | CRUSH (99s)
a=2.75 wd=0.15 | s1 unif= 0.032 hi= 0.312 lo= 0.001 | CRUSH (99s)
a=2.75 wd=0.15 | s2 unif= 0.091 hi= 0.583 lo= 0.000 | CRUSH (98s)
a=2.75 wd=0.20 | s0 unif= 0.071 hi= 0.495 lo= 0.000 | CRUSH (99s)
a=2.75 wd=0.20 | s1 unif= 0.138 hi= 0.591 lo= 0.001 | CRUSH (100s)
a=2.75 wd=0.20 | s2 unif= 0.062 hi= 0.448 lo= 0.000 | CRUSH (98s)
a=2.75 wd=0.30 | s0 unif= 0.070 hi= 0.504 lo= 0.006 | CRUSH (99s)
a=2.75 wd=0.30 | s1 unif= 0.143 hi= 0.682 lo= 0.000 | CRUSH (99s)
a=2.75 wd=0.30 | s2 unif= 0.071 hi= 0.426 lo= 0.000 | CRUSH (98s)
a=2.75 wd=0.50 | s0 unif= 0.020 hi= 0.198 lo= 0.000 | CRUSH (98s)
a=2.75 wd=0.50 | s1 unif= 0.006 hi= 0.055 lo= 0.000 | CRUSH (98s)
a=2.75 wd=0.50 | s2 unif= 0.042 hi= 0.325 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.05 | s0 unif= 0.325 hi= 0.915 lo= 0.000 | TRAP (98s)
a=3.00 wd=0.05 | s1 unif= 0.174 hi= 0.859 lo= 0.000 | CRUSH (98s)
a=3.00 wd=0.05 | s2 unif= 0.127 hi= 0.740 lo= 0.005 | CRUSH (98s)
a=3.00 wd=0.10 | s0 unif= 0.065 hi= 0.487 lo= 0.000 | CRUSH (100s)
a=3.00 wd=0.10 | s1 unif= 0.148 hi= 0.732 lo= 0.054 | CRUSH (98s)
a=3.00 wd=0.10 | s2 unif= 0.106 hi= 0.650 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.15 | s0 unif= 0.028 hi= 0.272 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.15 | s1 unif= 0.176 hi= 0.668 lo= 0.121 | CRUSH (98s)
a=3.00 wd=0.15 | s2 unif= 0.030 hi= 0.285 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.20 | s0 unif= 0.063 hi= 0.380 lo= 0.001 | CRUSH (99s)
a=3.00 wd=0.20 | s1 unif= 0.019 hi= 0.184 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.20 | s2 unif= 0.074 hi= 0.429 lo= 0.000 | CRUSH (100s)
a=3.00 wd=0.30 | s0 unif= 0.025 hi= 0.219 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.30 | s1 unif= 0.029 hi= 0.226 lo= 0.001 | CRUSH (98s)
a=3.00 wd=0.30 | s2 unif= 0.022 hi= 0.205 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.50 | s0 unif= 0.017 hi= 0.171 lo= 0.000 | CRUSH (99s)
a=3.00 wd=0.50 | s1 unif= 0.006 hi= 0.054 lo= 0.000 | CRUSH (101s)
a=3.00 wd=0.50 | s2 unif= 0.003 hi= 0.026 lo= 0.000 | CRUSH (101s)

=== grok-count matrix (out of 3 seeds) ===
      wd=0.05 wd=0.1  wd=0.15 wd=0.2  wd=0.3  wd=0.5  
a=0.00    3/3    3/3    3/3    3/3    3/3    3/3 
a=1.00    3/3    3/3    3/3    3/3    3/3    3/3 
a=2.00    3/3    3/3    2/3    2/3    0/3    0/3 
a=2.25    3/3    3/3    0/3    1/3    0/3    0/3 
a=2.50    2/3    0/3    0/3    0/3    0/3    0/3 
a=2.75    0/3    0/3    0/3    0/3    0/3    0/3 
a=3.00    0/3    0/3    0/3    0/3    0/3    0/3 

elapsed 12481s -> results/p11_n12_grid.json
