[m2b_targeted] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s2 | unif= 0.256 hi= 0.916 | TRAP
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=unif b=128 B=60k s0 | unif= 0.942 hi= 0.976 | GROK
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=unif b=128 B=60k s1 | unif= 0.932 hi= 0.953 | GROK
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=unif b=128 B=60k s2 | unif= 0.946 hi= 0.948 | GROK
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=unif b=128 B=60k s3 | unif= 0.941 hi= 0.955 | GROK
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=unif b=128 B=60k s4 | unif= 0.967 hi= 0.975 | GROK
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=tail b=128 B=60k s0 | unif= 0.308 hi= 0.794 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=tail b=128 B=60k s1 | unif= 0.309 hi= 0.770 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=tail b=128 B=60k s2 | unif= 0.364 hi= 0.867 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=tail b=128 B=60k s3 | unif= 0.280 hi= 0.702 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=tail b=128 B=60k s4 | unif= 0.345 hi= 0.847 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=head b=128 B=60k s0 | unif= 0.180 hi= 0.970 | TRAP
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=head b=128 B=60k s1 | unif= 0.199 hi= 0.981 | TRAP
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=head b=128 B=60k s2 | unif= 0.305 hi= 0.972 | TRAP
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=head b=128 B=60k s3 | unif= 0.072 hi= 0.579 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=1 inj=head b=128 B=60k s4 | unif= 0.234 hi= 0.972 | TRAP
[m2b_targeted] a=3.00 wd=0.300 k=0 inj=unif b=128 B=60k s0 | unif= 0.079 hi= 0.588 | CRUSH
