[m1_n10_boundary] a=2.75 wd=0.020 k=0 inj=unif b=128 B=60k s2 | unif= 0.624 hi= 0.989 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.020 k=0 inj=unif b=128 B=60k s3 | unif= 0.929 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.020 k=0 inj=unif b=128 B=60k s4 | unif= 0.691 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.030 k=0 inj=unif b=128 B=60k s0 | unif= 0.733 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.030 k=0 inj=unif b=128 B=60k s1 | unif= 0.917 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.030 k=0 inj=unif b=128 B=60k s2 | unif= 0.859 hi= 0.989 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.030 k=0 inj=unif b=128 B=60k s3 | unif= 0.982 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.030 k=0 inj=unif b=128 B=60k s4 | unif= 0.971 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.040 k=0 inj=unif b=128 B=60k s0 | unif= 0.607 hi= 0.997 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.040 k=0 inj=unif b=128 B=60k s1 | unif= 0.910 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.040 k=0 inj=unif b=128 B=60k s2 | unif= 0.812 hi= 0.999 | PARTIAL
[m1_n10_boundary] a=2.75 wd=0.040 k=0 inj=unif b=128 B=60k s3 | unif= 0.953 hi= 1.000 | GROK
[m1_n10_boundary] a=2.75 wd=0.040 k=0 inj=unif b=128 B=60k s4 | unif= 0.869 hi= 0.999 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.030 k=0 inj=unif b=128 B=60k s0 | unif= 0.770 hi= 0.999 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.030 k=0 inj=unif b=128 B=60k s1 | unif= 0.895 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.030 k=0 inj=unif b=128 B=60k s2 | unif= 0.820 hi= 0.999 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.030 k=0 inj=unif b=128 B=60k s3 | unif= 0.996 hi= 1.000 | GROK
[m1_n10_boundary] a=2.90 wd=0.030 k=0 inj=unif b=128 B=60k s4 | unif= 0.686 hi= 0.998 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.040 k=0 inj=unif b=128 B=60k s0 | unif= 0.482 hi= 1.000 | TRAP
[m1_n10_boundary] a=2.90 wd=0.040 k=0 inj=unif b=128 B=60k s1 | unif= 0.997 hi= 1.000 | GROK
[m1_n10_boundary] a=2.90 wd=0.040 k=0 inj=unif b=128 B=60k s2 | unif= 0.926 hi= 0.997 | GROK
[m1_n10_boundary] a=2.90 wd=0.040 k=0 inj=unif b=128 B=60k s3 | unif= 0.883 hi= 0.998 | PARTIAL
[m1_n10_boundary] a=2.90 wd=0.040 k=0 inj=unif b=128 B=60k s4 | unif= 0.597 hi= 0.997 | PARTIAL
[m1_n10_boundary] a=3.00 wd=0.030 k=0 inj=unif b=128 B=60k s0 | unif= 0.622 hi= 0.985 | PARTIAL
[m1_n10_boundary] a=3.00 wd=0.030 k=0 inj=unif b=128 B=60k s1 | unif= 0.413 hi= 0.987 | TRAP
[m1_n10_boundary] a=3.00 wd=0.030 k=0 inj=unif b=128 B=60k s2 | unif= 0.682 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=3.00 wd=0.040 k=0 inj=unif b=128 B=60k s0 | unif= 0.480 hi= 1.000 | TRAP
[m1_n10_boundary] a=3.00 wd=0.040 k=0 inj=unif b=128 B=60k s1 | unif= 0.560 hi= 0.998 | PARTIAL
[m1_n10_boundary] a=3.00 wd=0.040 k=0 inj=unif b=128 B=60k s2 | unif= 0.867 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=1.00 wd=0.700 k=0 inj=unif b=128 B=60k s0 | unif= 0.985 hi= 1.000 | GROK
[m1_n10_boundary] a=1.00 wd=0.700 k=0 inj=unif b=128 B=60k s1 | unif= 0.995 hi= 1.000 | GROK
[m1_n10_boundary] a=1.00 wd=0.700 k=0 inj=unif b=128 B=60k s2 | unif= 0.996 hi= 1.000 | GROK
[m1_n10_boundary] a=1.00 wd=1.000 k=0 inj=unif b=128 B=60k s0 | unif= 0.995 hi= 1.000 | GROK
[m1_n10_boundary] a=1.00 wd=1.000 k=0 inj=unif b=128 B=60k s1 | unif= 0.994 hi= 1.000 | GROK
[m1_n10_boundary] a=1.00 wd=1.000 k=0 inj=unif b=128 B=60k s2 | unif= 0.987 hi= 0.992 | GROK
[m1_n10_boundary] a=1.50 wd=0.600 k=0 inj=unif b=128 B=60k s0 | unif= 0.964 hi= 0.996 | GROK
[m1_n10_boundary] a=1.50 wd=0.600 k=0 inj=unif b=128 B=60k s1 | unif= 0.966 hi= 0.998 | GROK
[m1_n10_boundary] a=1.50 wd=0.600 k=0 inj=unif b=128 B=60k s2 | unif= 0.968 hi= 1.000 | GROK
[m1_n10_boundary] a=1.50 wd=0.800 k=0 inj=unif b=128 B=60k s0 | unif= 0.945 hi= 0.995 | GROK
[m1_n10_boundary] a=1.50 wd=0.800 k=0 inj=unif b=128 B=60k s1 | unif= 0.804 hi= 0.977 | PARTIAL
[m1_n10_boundary] a=1.50 wd=0.800 k=0 inj=unif b=128 B=60k s2 | unif= 0.907 hi= 0.998 | GROK
[m1_n10_boundary] a=1.50 wd=1.000 k=0 inj=unif b=128 B=60k s0 | unif= 0.735 hi= 0.963 | PARTIAL
[m1_n10_boundary] a=1.50 wd=1.000 k=0 inj=unif b=128 B=60k s1 | unif= 0.450 hi= 0.943 | TRAP
[m1_n10_boundary] a=1.50 wd=1.000 k=0 inj=unif b=128 B=60k s2 | unif= 0.898 hi= 0.989 | PARTIAL
[m1_n10_boundary] done: 91 runs, 8435s
[m1_n12_boundary] a=2.00 wd=0.250 k=0 inj=unif b=128 B=240k s0 | unif= 0.751 hi= 0.951 | PARTIAL
[m1_n12_boundary] a=2.00 wd=0.250 k=0 inj=unif b=128 B=240k s1 | unif= 0.882 hi= 0.983 | PARTIAL
[m1_n12_boundary] a=2.00 wd=0.250 k=0 inj=unif b=128 B=240k s2 | unif= 0.712 hi= 0.944 | PARTIAL
[m1_n12_boundary] a=2.00 wd=0.300 k=0 inj=unif b=128 B=240k s0 | unif= 0.700 hi= 0.959 | PARTIAL
[m1_n12_boundary] a=2.00 wd=0.300 k=0 inj=unif b=128 B=240k s1 | unif= 0.684 hi= 0.968 | PARTIAL
[m1_n12_boundary] a=2.00 wd=0.300 k=0 inj=unif b=128 B=240k s2 | unif= 0.720 hi= 0.958 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.120 k=0 inj=unif b=128 B=240k s0 | unif= 0.748 hi= 0.983 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.120 k=0 inj=unif b=128 B=240k s1 | unif= 0.831 hi= 0.993 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.120 k=0 inj=unif b=128 B=240k s2 | unif= 0.840 hi= 0.998 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.150 k=0 inj=unif b=128 B=240k s0 | unif= 0.566 hi= 0.981 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.150 k=0 inj=unif b=128 B=240k s1 | unif= 0.594 hi= 0.947 | PARTIAL
[m1_n12_boundary] a=2.25 wd=0.150 k=0 inj=unif b=128 B=240k s2 | unif= 0.839 hi= 0.996 | PARTIAL
[m1_n12_boundary] a=2.50 wd=0.060 k=0 inj=unif b=128 B=240k s0 | unif= 0.978 hi= 1.000 | GROK
[m1_n12_boundary] a=2.50 wd=0.060 k=0 inj=unif b=128 B=240k s1 | unif= 0.972 hi= 0.998 | GROK
