[d=32,lr=0.0005] a=2.25 wd=0.125 s0 | unif=0.763 hi=1.000 | PARTIAL (93s)
[d=32,lr=0.0005] a=2.25 wd=0.125 s1 | unif=0.590 hi=0.997 | PARTIAL (93s)
[d=32,lr=0.0005] a=2.25 wd=0.125 s2 | unif=0.415 hi=0.995 | TRAP (92s)
[d=32,lr=0.0005] a=2.25 wd=0.125 s3 | unif=0.628 hi=1.000 | PARTIAL (91s)
[d=32,lr=0.0005] a=2.25 wd=0.125 s4 | unif=0.722 hi=1.000 | PARTIAL (92s)
[d=128,lr=0.002] a=2.25 wd=0.125 s0 | unif=0.962 hi=0.999 | GROK (97s)
[d=128,lr=0.002] a=2.25 wd=0.125 s1 | unif=0.982 hi=1.000 | GROK (98s)
[d=128,lr=0.002] a=2.25 wd=0.125 s2 | unif=0.911 hi=1.000 | GROK (98s)
[d=128,lr=0.002] a=2.25 wd=0.125 s3 | unif=0.939 hi=1.000 | GROK (98s)
[d=128,lr=0.002] a=2.25 wd=0.125 s4 | unif=0.862 hi=0.997 | PARTIAL (97s)
[layers=1] a=2.25 wd=0.125 s0 | unif=0.411 hi=0.987 | TRAP (64s)
[layers=1] a=2.25 wd=0.125 s1 | unif=0.968 hi=1.000 | GROK (64s)
[layers=1] a=2.25 wd=0.125 s2 | unif=0.978 hi=0.999 | GROK (63s)
[layers=1] a=2.25 wd=0.125 s3 | unif=0.966 hi=0.998 | GROK (63s)
[layers=1] a=2.25 wd=0.125 s4 | unif=0.814 hi=0.990 | PARTIAL (64s)
[layers=3] a=2.25 wd=0.125 s0 | unif=0.989 hi=1.000 | GROK (120s)
[layers=3] a=2.25 wd=0.125 s1 | unif=0.258 hi=0.899 | CRUSH (120s)
[layers=3] a=2.25 wd=0.125 s2 | unif=0.993 hi=1.000 | GROK (119s)
[layers=3] a=2.25 wd=0.125 s3 | unif=0.972 hi=1.000 | GROK (120s)
[layers=3] a=2.25 wd=0.125 s4 | unif=0.820 hi=0.992 | PARTIAL (120s)
[optimizer=sgd_momentum] a=2.25 wd=0.125 s0 | unif=0.001 hi=0.000 | CRUSH (87s)
[optimizer=sgd_momentum] a=2.25 wd=0.125 s1 | unif=0.001 hi=0.000 | CRUSH (87s)
[optimizer=sgd_momentum] a=2.25 wd=0.125 s2 | unif=0.001 hi=0.000 | CRUSH (87s)
[optimizer=sgd_momentum] a=2.25 wd=0.125 s3 | unif=0.001 hi=0.000 | CRUSH (87s)
[optimizer=sgd_momentum] a=2.25 wd=0.125 s4 | unif=0.001 hi=0.000 | CRUSH (87s)

done: 90 runs, 8373s -> results/m11_factorial.json
