a=3.00 wd=0.10 s0 | unif= 0.337 hi= 1.000 lo= 0.181 | TRAP (32s)
a=3.00 wd=0.10 s1 | unif= 0.344 hi= 1.000 lo= 0.184 | TRAP (32s)
a=3.00 wd=0.10 s2 | unif= 0.353 hi= 1.000 lo= 0.197 | TRAP (32s)
a=3.00 wd=0.30 s0 | unif= 0.373 hi= 1.000 lo= 0.211 | TRAP (32s)
a=3.00 wd=0.30 s1 | unif= 0.436 hi= 1.000 lo= 0.246 | TRAP (32s)
a=3.00 wd=0.30 s2 | unif= 0.430 hi= 1.000 lo= 0.256 | TRAP (32s)
a=3.00 wd=0.50 s0 | unif= 0.432 hi= 1.000 lo= 0.251 | TRAP (32s)
a=3.00 wd=0.50 s1 | unif= 0.477 hi= 1.000 lo= 0.284 | TRAP (32s)
a=3.00 wd=0.50 s2 | unif= 0.480 hi= 1.000 lo= 0.302 | TRAP (32s)
a=3.00 wd=1.00 s0 | unif= 0.405 hi= 1.000 lo= 0.247 | TRAP (32s)
a=3.00 wd=1.00 s1 | unif= 0.396 hi= 1.000 lo= 0.232 | TRAP (32s)
a=3.00 wd=1.00 s2 | unif= 0.382 hi= 1.000 lo= 0.231 | TRAP (32s)

done: 75 runs, 2381s -> results/m6b_modadd_grid.json
