a=2.75 q=0.50 (E[dose]=0.391%) s4 | unif=0.923 hi=0.965 | GROK (93s)
a=2.75 q=0.50 (E[dose]=0.391%) s5 | unif=0.692 hi=0.870 | PARTIAL (91s)
a=2.75 q=0.50 (E[dose]=0.391%) s6 | unif=0.868 hi=0.964 | PARTIAL (92s)
a=2.75 q=0.50 (E[dose]=0.391%) s7 | unif=0.875 hi=0.956 | PARTIAL (92s)
a=2.75 q=0.75 (E[dose]=0.586%) s0 | unif=0.947 hi=0.972 | GROK (92s)
a=2.75 q=0.75 (E[dose]=0.586%) s1 | unif=0.955 hi=0.970 | GROK (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s2 | unif=0.919 hi=0.949 | GROK (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s3 | unif=0.841 hi=0.931 | PARTIAL (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s4 | unif=0.944 hi=0.984 | GROK (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s5 | unif=0.887 hi=0.940 | PARTIAL (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s6 | unif=0.925 hi=0.952 | GROK (91s)
a=2.75 q=0.75 (E[dose]=0.586%) s7 | unif=0.957 hi=0.977 | GROK (91s)
a=2.75 q=1.00 (E[dose]=0.781%) s0 | unif=0.847 hi=0.943 | PARTIAL (91s)
a=2.75 q=1.00 (E[dose]=0.781%) s1 | unif=0.943 hi=0.963 | GROK (92s)
a=2.75 q=1.00 (E[dose]=0.781%) s2 | unif=0.954 hi=0.974 | GROK (91s)
a=2.75 q=1.00 (E[dose]=0.781%) s3 | unif=0.896 hi=0.949 | PARTIAL (91s)
a=2.75 q=1.00 (E[dose]=0.781%) s4 | unif=0.939 hi=0.974 | GROK (93s)
a=2.75 q=1.00 (E[dose]=0.781%) s5 | unif=0.973 hi=0.987 | GROK (92s)
a=2.75 q=1.00 (E[dose]=0.781%) s6 | unif=0.877 hi=0.933 | PARTIAL (91s)
a=2.75 q=1.00 (E[dose]=0.781%) s7 | unif=0.937 hi=0.957 | GROK (92s)
a=3.00 q=0.10 (E[dose]=0.078%) s0 | unif=0.423 hi=0.707 | CRUSH (92s)
a=3.00 q=0.10 (E[dose]=0.078%) s1 | unif=0.395 hi=0.775 | CRUSH (92s)
a=3.00 q=0.10 (E[dose]=0.078%) s2 | unif=0.428 hi=0.662 | CRUSH (91s)
a=3.00 q=0.10 (E[dose]=0.078%) s3 | unif=0.587 hi=0.811 | PARTIAL (91s)
a=3.00 q=0.10 (E[dose]=0.078%) s4 | unif=0.363 hi=0.633 | CRUSH (91s)
a=3.00 q=0.10 (E[dose]=0.078%) s5 | unif=0.536 hi=0.853 | PARTIAL (92s)
a=3.00 q=0.10 (E[dose]=0.078%) s6 | unif=0.215 hi=0.539 | CRUSH (123s)
a=3.00 q=0.10 (E[dose]=0.078%) s7 | unif=0.351 hi=0.764 | CRUSH (118s)
a=3.00 q=0.25 (E[dose]=0.195%) s0 | unif=0.461 hi=0.773 | CRUSH (91s)
a=3.00 q=0.25 (E[dose]=0.195%) s1 | unif=0.792 hi=0.901 | PARTIAL (92s)
a=3.00 q=0.25 (E[dose]=0.195%) s2 | unif=0.827 hi=0.919 | PARTIAL (91s)
a=3.00 q=0.25 (E[dose]=0.195%) s3 | unif=0.101 hi=0.463 | CRUSH (92s)
a=3.00 q=0.25 (E[dose]=0.195%) s4 | unif=0.870 hi=0.942 | PARTIAL (92s)
a=3.00 q=0.25 (E[dose]=0.195%) s5 | unif=0.689 hi=0.825 | PARTIAL (91s)
a=3.00 q=0.25 (E[dose]=0.195%) s6 | unif=0.880 hi=0.946 | PARTIAL (91s)
a=3.00 q=0.25 (E[dose]=0.195%) s7 | unif=0.133 hi=0.615 | CRUSH (92s)
a=3.00 q=0.50 (E[dose]=0.391%) s0 | unif=0.888 hi=0.909 | PARTIAL (92s)
a=3.00 q=0.50 (E[dose]=0.391%) s1 | unif=0.796 hi=0.923 | PARTIAL (91s)
a=3.00 q=0.50 (E[dose]=0.391%) s2 | unif=0.916 hi=0.942 | GROK (91s)
a=3.00 q=0.50 (E[dose]=0.391%) s3 | unif=0.883 hi=0.934 | PARTIAL (92s)
a=3.00 q=0.50 (E[dose]=0.391%) s4 | unif=0.897 hi=0.952 | PARTIAL (91s)
a=3.00 q=0.50 (E[dose]=0.391%) s5 | unif=0.848 hi=0.914 | PARTIAL (92s)
a=3.00 q=0.50 (E[dose]=0.391%) s6 | unif=0.374 hi=0.782 | CRUSH (92s)
a=3.00 q=0.50 (E[dose]=0.391%) s7 | unif=0.887 hi=0.921 | PARTIAL (92s)
a=3.00 q=0.75 (E[dose]=0.586%) s0 | unif=0.925 hi=0.944 | GROK (123s)
a=3.00 q=0.75 (E[dose]=0.586%) s1 | unif=0.885 hi=0.920 | PARTIAL (111s)
a=3.00 q=0.75 (E[dose]=0.586%) s2 | unif=0.946 hi=0.962 | GROK (100s)
a=3.00 q=0.75 (E[dose]=0.586%) s3 | unif=0.914 hi=0.960 | GROK (92s)
a=3.00 q=0.75 (E[dose]=0.586%) s4 | unif=0.923 hi=0.969 | GROK (92s)
a=3.00 q=0.75 (E[dose]=0.586%) s5 | unif=0.948 hi=0.955 | GROK (92s)
a=3.00 q=0.75 (E[dose]=0.586%) s6 | unif=0.939 hi=0.955 | GROK (92s)
a=3.00 q=0.75 (E[dose]=0.586%) s7 | unif=0.866 hi=0.926 | PARTIAL (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s0 | unif=0.910 hi=0.921 | GROK (93s)
a=3.00 q=1.00 (E[dose]=0.781%) s1 | unif=0.895 hi=0.936 | PARTIAL (91s)
a=3.00 q=1.00 (E[dose]=0.781%) s2 | unif=0.825 hi=0.884 | PARTIAL (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s3 | unif=0.942 hi=0.968 | GROK (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s4 | unif=0.948 hi=0.967 | GROK (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s5 | unif=0.919 hi=0.961 | GROK (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s6 | unif=0.880 hi=0.950 | PARTIAL (92s)
a=3.00 q=1.00 (E[dose]=0.781%) s7 | unif=0.927 hi=0.932 | GROK (92s)

done: 120 runs, 11127s -> results/m13_dose_clean.json
