[dyck_boundary] a=3.00 wd=1.10 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.10 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.10 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.10 k=0 inj=uniform  s8 | unif= 0.992 hi= 1.000 lo= 0.984 | GROK (104s)
[dyck_boundary] a=3.00 wd=1.10 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s2 | unif= 0.743 hi= 0.796 lo= 0.727 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s4 | unif= 0.798 hi= 0.871 lo= 0.772 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s5 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (102s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s7 | unif= 0.824 hi= 0.934 lo= 0.785 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s8 | unif= 0.818 hi= 0.895 lo= 0.785 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=1.30 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s8 | unif= 0.987 hi= 1.000 lo= 0.975 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.30 k=0 inj=uniform  s9 | unif= 0.971 hi= 1.000 lo= 0.943 | GROK (104s)
