[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s3 | unif= 0.996 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s4 | unif= 1.000 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s5 | unif= 0.992 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s6 | unif= 0.994 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s7 | unif= 0.984 hi= 0.999 | GROK
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s0 | unif= 0.964 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s1 | unif= 0.830 hi= 0.997 | PARTIAL
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s2 | unif= 0.795 hi= 0.995 | PARTIAL
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s3 | unif= 0.635 hi= 0.998 | PARTIAL
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s4 | unif= 0.988 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s5 | unif= 0.911 hi= 0.996 | GROK
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s6 | unif= 0.912 hi= 0.999 | GROK
[m9_densify] a=2.05 wd=0.173 k=0 inj=unif b=128 B=60k s7 | unif= 0.817 hi= 0.995 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s0 | unif= 0.674 hi= 0.989 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s1 | unif= 0.838 hi= 0.999 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s2 | unif= 0.920 hi= 0.994 | GROK
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s3 | unif= 0.877 hi= 0.998 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s4 | unif= 0.876 hi= 0.999 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s5 | unif= 0.741 hi= 0.985 | PARTIAL
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s6 | unif= 0.948 hi= 0.998 | GROK
[m9_densify] a=2.05 wd=0.225 k=0 inj=unif b=128 B=60k s7 | unif= 0.894 hi= 0.993 | PARTIAL
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s0 | unif= 0.990 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s1 | unif= 0.972 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s2 | unif= 0.928 hi= 0.994 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s3 | unif= 0.985 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s4 | unif= 0.996 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s5 | unif= 0.909 hi= 0.999 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s6 | unif= 0.996 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.111 k=0 inj=unif b=128 B=60k s7 | unif= 0.980 hi= 0.998 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s0 | unif= 0.884 hi= 1.000 | PARTIAL
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s1 | unif= 0.953 hi= 0.998 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s2 | unif= 0.938 hi= 0.999 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s3 | unif= 0.881 hi= 0.995 | PARTIAL
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s4 | unif= 0.965 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s5 | unif= 0.984 hi= 1.000 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s6 | unif= 0.934 hi= 0.998 | GROK
[m9_densify] a=2.15 wd=0.158 k=0 inj=unif b=128 B=60k s7 | unif= 0.900 hi= 0.999 | GROK
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s0 | unif= 0.548 hi= 0.995 | PARTIAL
