a=6.00 wd=0.50 s0 | unif= 0.729 hi= 0.745 lo= 0.732 | PARTIAL (51s)
a=6.00 wd=0.50 s1 | unif= 0.778 hi= 0.825 lo= 0.763 | PARTIAL (51s)
a=6.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=6.00 wd=0.80 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=6.00 wd=0.80 s1 | unif= 0.615 hi= 0.684 lo= 0.586 | PARTIAL (51s)
a=6.00 wd=0.80 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=6.00 wd=1.00 s0 | unif= 0.734 hi= 0.714 lo= 0.749 | PARTIAL (52s)
a=6.00 wd=1.00 s1 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=6.00 wd=1.00 s2 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=6.00 wd=1.50 s0 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (52s)
a=6.00 wd=1.50 s1 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=6.00 wd=1.50 s2 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=0.30 s0 | unif= 0.677 hi= 0.592 lo= 0.721 | PARTIAL (51s)
a=7.00 wd=0.30 s1 | unif= 0.746 hi= 0.736 lo= 0.744 | PARTIAL (51s)
a=7.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=7.00 wd=0.50 s0 | unif= 0.913 hi= 0.990 lo= 0.852 | GROK (53s)
a=7.00 wd=0.50 s1 | unif= 0.996 hi= 1.000 lo= 0.993 | GROK (52s)
a=7.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=7.00 wd=0.80 s0 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=0.80 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=7.00 wd=0.80 s2 | unif= 0.664 hi= 0.554 lo= 0.713 | PARTIAL (51s)
a=7.00 wd=1.00 s0 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=1.00 s1 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (53s)
a=7.00 wd=1.00 s2 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=1.50 s0 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=1.50 s1 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)
a=7.00 wd=1.50 s2 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (51s)

done: 90 runs, 4625s -> results/dyck_probe.json
